Country,State,Year,Month,Name Of The Fertilizer Used,"Required Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1","Available Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1"
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,8.10
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Tripura,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,1.95
India,Tripura,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Tripura,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Tripura,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Tripura,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Tripura,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,155.00
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,100000.00,251249.18
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,5000.00,55911.05
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,16125.25
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,300000.00,65209.20
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",45000.00,82660.60
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,2182.10
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,200.30
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,888.70
India,Uttarakhand,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,6659.30
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,32602.61
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,41069.30
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,7377.55
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,4651.37
India,West Bengal,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,148381.68
